,tamanho,ano,garagem,predicted
0,159.0,2003,2,211378.1
1,117.0,1976,2,156195.88
2,166.0,2001,2,217446.34
3,160.0,1915,3,130400.47
4,204.0,2000,3,282567.34
5,127.0,1993,2,172354.64
6,157.0,2004,2,211378.1
7,194.0,1973,2,217434.55
8,165.0,1931,2,166887.92
9,100.0,1939,1,117114.195
10,97.0,1965,1,131538.47
11,216.0,2005,3,324874.44
12,85.0,1962,1,121669.125
13,139.0,2006,3,228233.0
14,116.0,1960,1,137826.55
15,79.0,1929,2,106065.766
16,93.0,1970,2,142482.0
17,120.0,1967,2,149951.72
18,103.0,2004,2,155640.16
19,124.0,1958,1,136196.69
20,221.0,2005,3,324874.44
21,103.0,1930,1,117844.21
22,167.0,2002,2,217446.34
23,98.0,1976,2,146481.75
24,98.0,1968,1,133438.39
25,149.0,2007,3,249255.1
26,84.0,1951,2,121637.97
27,158.0,2007,3,308902.16
28,149.0,1957,1,149064.72
29,48.0,1927,1,84363.73
30,122.0,1920,1,121659.734
31,114.0,1966,1,137038.7
32,115.0,2007,2,182501.9
33,158.0,1959,2,177069.94
34,145.0,2005,2,210181.55
35,228.0,2004,3,331971.84
36,102.0,1994,2,157077.56
37,120.0,1954,2,143396.6
38,98.0,1953,1,131808.53
39,107.0,1955,0,106824.36
40,123.0,1965,2,152604.14
41,123.0,1959,1,137826.55
42,82.0,1983,2,135697.52
43,87.0,1975,1,118281.58
44,107.0,1959,1,137038.7
45,163.0,2005,2,228919.92
46,200.0,2003,2,258440.19
47,154.0,2006,3,254986.39
48,135.0,1920,0,115297.82
49,89.0,1966,1,121669.125
50,137.0,1997,2,189538.98
51,109.0,1934,2,129426.08
52,76.0,1963,2,126170.71
53,171.0,1981,3,289616.84
54,126.0,1955,2,145087.72
55,132.0,1964,2,165375.53
56,162.0,1999,2,217446.34
57,160.0,2004,2,211378.1
58,274.0,2006,3,427974.56
59,72.0,1972,1,106316.24
60,108.0,2004,2,164905.61
61,103.0,1920,1,110343.92
62,127.0,2006,2,196476.2
63,159.0,1921,2,163792.5
64,189.0,1997,2,239344.06
65,230.0,2004,3,331971.84
66,205.0,1970,2,229630.2
67,137.0,2003,2,192132.47
68,69.0,1945,1,88420.48
69,212.0,1953,2,198787.0
70,207.0,1973,2,209584.03
71,79.0,1982,2,135697.52
72,160.0,1998,2,211378.1
73,101.0,1954,2,136925.83
74,149.0,1915,1,133052.61
75,92.0,1973,1,110927.984
76,88.0,1956,1,120039.26
77,119.0,1948,1,122393.695
78,164.0,1968,0,162385.52
79,114.0,1910,2,113867.734
80,199.0,1968,1,208702.83
81,124.0,1998,2,174133.38
82,145.0,2007,3,238989.06
83,99.0,1960,2,141496.92
84,137.0,1995,2,187760.25
85,225.0,1991,2,268334.38
86,145.0,2005,2,210181.55
87,114.0,2009,2,184377.52
88,142.0,1915,0,110587.914
89,92.0,1994,0,130169.81
90,97.0,1950,2,120047.72
91,115.0,1961,2,143381.92
92,90.0,1921,2,117672.09
93,213.0,1910,2,149439.03
94,166.0,1997,2,217446.34
95,137.0,1993,2,187760.25
96,148.0,1999,2,205522.14
97,89.0,1965,1,121669.125
98,78.0,1920,1,97288.96
99,114.0,1959,0,112394.33
100,150.0,1977,2,179357.69
101,161.0,1985,2,206996.28
102,143.0,1979,2,179357.69
103,114.0,2009,3,195716.14
104,169.0,1931,1,167795.6
105,185.0,2003,2,246976.78
106,97.0,1885,1,99013.805
107,73.0,1948,1,106642.09
108,141.0,1919,0,119423.18
109,171.0,1977,2,192177.44
110,172.0,1954,1,169983.8
111,133.0,2000,2,189538.98
112,250.0,2007,3,403668.1
113,210.0,1953,2,198787.0
114,216.0,1945,1,208206.1
115,135.0,1999,2,189538.98
116,101.0,1962,1,133438.39
117,105.0,2006,2,160957.75
118,299.0,1990,3,339103.5
119,135.0,2005,2,194198.39
120,92.0,1969,2,135842.48
121,104.0,1939,1,117844.21
122,100.0,1958,1,131808.53
123,111.0,1993,2,166343.02
124,147.0,1979,2,179357.69
125,70.0,1935,0,90150.63
126,89.0,1976,2,137942.31
127,78.0,1930,0,90150.63
128,125.0,1966,2,152604.14
129,98.0,1958,2,141496.92
130,200.0,1966,2,229630.2
131,191.0,2000,2,239344.06
132,123.0,1959,2,152604.14
133,120.0,2001,2,187474.45
134,160.0,1968,2,179878.64
135,156.0,1970,2,179878.64
136,113.0,1967,1,137038.7
137,182.0,1988,3,237824.9
138,172.0,1999,3,262578.12
139,164.0,1997,2,217446.34
140,80.0,1971,0,96289.37
141,161.0,2005,2,222851.67
142,129.0,1952,2,145087.72
143,139.0,1999,2,199228.22
144,161.0,1963,2,177069.94
145,159.0,2004,2,211378.1
146,81.0,1931,1,104789.25
147,189.0,2001,2,239344.06
148,100.0,2004,0,134158.42
149,125.0,1936,1,123428.18
150,90.0,1975,2,137942.31
151,159.0,2007,3,308902.16
152,185.0,1971,2,199359.75
153,116.0,1960,2,152604.14
154,111.0,1923,1,115468.586
155,102.0,1924,0,92130.01
156,97.0,1950,2,120047.72
157,183.0,2009,3,306340.3
158,181.0,2004,2,220482.84
159,229.0,2005,2,289904.3
160,114.0,1984,2,163293.4
161,248.0,2003,3,410439.62
162,143.0,2005,2,210181.55
163,82.0,1956,0,101328.305
164,150.0,1926,1,146147.3
165,126.0,1940,0,101654.086
166,173.0,1955,1,169983.8
167,201.0,2007,3,364113.03
168,160.0,2004,2,211378.1
169,159.0,1981,2,214133.94
170,128.0,1941,2,136643.47
171,154.0,1960,2,177069.94
172,164.0,1987,2,207652.69
173,127.0,1961,2,154295.27
174,153.0,1986,2,206996.28
175,200.0,1950,2,203228.3
176,191.0,1988,2,225181.94
177,178.0,1958,2,186595.88
178,208.0,2008,3,471549.62
179,90.0,1923,2,117672.09
180,142.0,2000,2,205522.14
181,167.0,1920,1,162240.02
182,124.0,1957,1,136196.69
183,193.0,2003,2,239344.06
184,116.0,1908,2,126143.67
185,335.0,1892,3,433022.97
186,113.0,1990,2,169423.34
187,154.0,1916,1,140032.3
188,114.0,1979,2,154900.9
189,148.0,2001,2,215375.17
190,253.0,1932,2,312440.94
191,137.0,1972,2,165531.81
192,133.0,1999,2,189538.98
193,159.0,2004,2,211378.1
194,80.0,1972,1,110927.984
195,135.0,1976,2,166143.62
196,160.0,2007,3,308902.16
197,289.0,1918,2,235966.52
198,207.0,1912,0,149612.22
199,159.0,2004,3,268323.8
200,104.0,2003,2,155640.16
201,119.0,1977,2,156485.94
202,122.0,1924,1,121052.555
203,79.0,2004,2,146823.95
204,119.0,1947,1,122393.695
205,134.0,1990,2,187760.25
206,158.0,1962,1,153414.84
207,102.0,1960,1,137038.7
208,192.0,1988,2,225181.94
209,101.0,1964,2,146315.44
210,80.0,1925,0,90150.63
211,113.0,2009,2,188108.17
212,172.0,2009,2,250407.42
213,92.0,1995,2,151202.83
214,129.0,1977,1,134932.19
215,115.0,1957,1,135408.84
216,133.0,2004,2,192132.47
217,123.0,1925,1,121052.555
218,182.0,1939,2,174509.23
219,116.0,2005,2,177016.28
220,139.0,2006,2,217781.86
221,211.0,2002,2,259811.56
222,144.0,1975,2,179067.62
223,80.0,1971,2,126114.24
224,222.0,2003,3,331971.84
225,121.0,1971,1,127085.41
226,234.0,1995,3,288827.28
227,92.0,1970,1,110927.984
228,85.0,1967,1,121669.125
229,144.0,2005,2,210181.55
230,111.0,1959,1,137038.7
231,260.0,1995,3,439001.66
232,92.0,1972,1,110927.984
233,83.0,1976,1,118281.58
234,182.0,2002,2,218481.44
235,92.0,1971,1,110927.984
236,131.0,2004,2,180214.9
237,162.0,1993,2,213064.53
238,157.0,2007,3,291911.72
239,138.0,1945,1,140366.64
240,145.0,2008,2,256013.08
241,80.0,1945,0,90150.63
242,134.0,1900,1,120050.98
243,113.0,1980,1,132595.28
244,196.0,1994,2,268545.75
245,174.0,1988,2,215071.0
246,179.0,1910,1,140363.84
247,128.0,1954,2,145087.72
248,155.0,2003,2,211378.1
249,199.0,1958,2,213588.31
250,121.0,1940,0,96810.83
251,151.0,2006,2,224075.78
252,152.0,2004,2,208115.62
253,121.0,1964,1,137826.55
254,122.0,1957,1,136196.69
255,213.0,1999,2,259811.56
256,161.0,2003,2,211378.1
257,149.0,2006,2,224075.78
258,166.0,2001,2,217446.34
259,82.0,1956,1,120039.26
260,128.0,1962,2,154295.27
261,239.0,2007,3,365677.4
262,113.0,1977,2,156246.86
263,122.0,1929,2,134952.34
264,71.0,1925,2,99078.4
265,132.0,1981,2,182124.11
266,140.0,1997,2,199228.22
267,204.0,1939,1,191031.08
268,72.0,1940,1,100177.51
269,103.0,1976,1,133651.17
270,180.0,2006,3,301127.0
271,127.0,1954,2,145087.72
272,211.0,1999,3,295691.72
273,152.0,1958,1,149064.72
274,76.0,1982,1,119125.59
275,144.0,1925,2,165022.1
276,145.0,2003,2,208115.62
277,80.0,1951,2,114851.18
278,197.0,2006,3,344363.6
279,188.0,1977,2,194218.27
280,184.0,1989,2,231210.44
281,117.0,2006,2,187958.5
282,122.0,2007,2,200364.12
283,136.0,2008,3,243255.62
284,146.0,1992,2,201140.34
285,116.0,2006,2,184343.52
286,161.0,1962,2,177069.94
287,80.0,1971,0,96289.37
288,84.0,1967,1,121669.125
289,130.0,1915,1,125726.48
290,178.0,2006,2,244171.17
291,159.0,1912,0,117567.6
292,159.0,1949,1,146211.75
293,210.0,1977,2,200510.66
294,153.0,1953,2,174367.0
295,93.0,1984,2,149897.28
296,145.0,1950,1,143491.48
297,181.0,1997,2,220482.84
298,162.0,1968,2,186627.28
299,107.0,1950,1,124308.79
300,124.0,1953,1,133493.75
301,228.0,1998,2,280496.66
302,143.0,2001,3,236465.08
303,83.0,1972,2,132901.02
304,325.0,1880,3,294982.12
305,186.0,2004,3,288611.44
306,208.0,1990,3,254073.14
307,131.0,1920,0,102261.266
308,80.0,1940,2,106065.766
309,181.0,2003,3,277963.53
310,139.0,1993,2,197449.48
311,90.0,1948,1,118449.01
312,104.0,1939,2,129426.08
313,189.0,1965,2,240632.83
314,152.0,1925,2,165022.1
315,133.0,2004,2,192132.47
316,219.0,1980,2,232305.0
317,182.0,2006,3,276373.8
318,246.0,1993,3,281640.4
319,137.0,1980,2,166433.69
320,241.0,2006,3,347382.47
321,229.0,2004,3,331971.84
322,254.0,1986,2,290385.38
323,108.0,1955,1,135408.84
324,277.0,1967,2,293368.7
325,75.0,1941,2,101454.02
326,160.0,1993,2,206996.28
327,128.0,1960,1,139517.67
328,198.0,1916,2,180205.56
329,111.0,1920,1,110343.92
330,161.0,1964,1,153414.84
331,98.0,1958,1,131808.53
332,151.0,2003,3,245234.84
333,126.0,2004,2,180214.9
334,152.0,1998,2,205522.14
335,166.0,1965,2,186627.28
336,179.0,2005,3,295919.9
337,143.0,2002,2,208115.62
338,151.0,1984,2,201140.34
339,113.0,1958,1,135408.84
340,177.0,2002,2,220482.84
341,78.0,1950,1,111253.836
342,97.0,1949,2,120047.72
343,156.0,2005,2,222851.67
344,103.0,1976,1,133651.17
345,147.0,1939,1,146147.3
346,89.0,1960,1,121669.125
347,137.0,1960,2,165375.53
348,151.0,2003,2,208115.62
349,253.0,2005,3,434951.75
350,174.0,2007,2,244171.17
351,135.0,1986,2,187760.25
352,103.0,1941,1,117844.21
353,67.0,1928,2,93499.04
354,148.0,1940,1,146147.3
355,111.0,1995,2,166343.02
356,108.0,1992,2,166343.02
357,106.0,1976,2,155956.8
358,126.0,1958,1,137887.81
359,179.0,1998,2,220482.84
